Player,Span,Mat,Inns,Not  Outs,Runs,HS,Ave,BF,SR,100,50,Ducks,4s,6s,Boundary Runs,% Runs in Boundaries
V Kohli (IND),2012-2022,27,25,11,1141,89*,81.5,869,131.3,0,14,0,103,28,580,50.83260298
DPMD Jayawardene (SL),2007-2014,31,31,5,1016,100,39.07,754,134.74,1,6,1,111,25,594,58.46456693
CH Gayle (WI),2007-2021,33,31,3,965,117,34.46,676,142.75,2,7,1,78,63,690,71.50259067
RG Sharma (IND),2007-2022,39,36,8,963,79*,34.39,753,127.88,0,9,1,91,35,574,59.60539979
TM Dilshan (SL),2007-2016,35,34,5,897,96*,30.93,723,124.06,0,6,5,101,20,524,58.41694537
DA Warner (AUS),2009-2022,34,34,2,806,89*,25.18,605,133.22,0,6,2,86,31,530,65.75682382
JC Buttler (ENG),2012-2022,27,27,8,799,101*,42.05,553,144.48,1,4,1,69,33,474,59.32415519
Shakib Al Hasan (BAN),2007-2022,36,36,5,742,84,23.93,606,122.44,0,3,2,62,23,386,52.02156334
AB de Villiers (SA),2007-2016,30,29,5,717,79*,29.87,500,143.4,0,5,0,51,30,384,53.55648536
KS Williamson (NZ),2012-2022,25,24,3,699,85,33.28,614,113.84,0,3,1,68,14,356,50.92989986
KC Sangakkara (SL),2007-2014,31,30,4,661,68,25.42,589,112.22,0,4,2,63,11,318,48.10892587
Shoaib Malik (PAK),2007-2021,34,31,12,646,57,34,524,123.28,0,3,0,47,17,290,44.89164087
BB McCullum (NZ),2007-2014,25,25,3,637,123,28.95,496,128.42,1,2,2,67,19,382,59.96860283
